X,Y,FID,Category,Ref,name,descriptio,long,lat,Email,Web,Phone
-9.591064453125,53.814740641123478,11, ,MO142,Carrowholly Stables & Trekking Centre,To provide leisure activities for the horse enthusiast.,-9.591064453125,53.8147406411235,carrowholly1@eircom.net,www.carrowholly-stables.com,098 27055/27057
-8.120763,54.077608,12,W2,RN6,Arigna Miners Way and Historical Trail,"118km of way marked routes following many of the paths used by miners going towork in the Arigna Mines.  Incorporating the Curlew, Brickleive and Arigna Mountains and passing many features of interest including Carrowkeel megalithic tombs, labby rock, se",-8.120763,54.077608,unabhan@indigo.ie,www.unabhan.net,071 9663033
-9.83031749725342,53.769996735375202,13, ,MO143,Carrowmore Beach,Beach,-9.83031749725342,53.7699967353752, ,www.mayococo.com,094-9020000
-8.627014,53.766572,14,W3,RN7,Lake O Flynn Bog Walks and Cycle Tour," A short 3.4km trail loops around the picnig care and outdoor gym, while the 6.4km Wild Goose Bog Walk brings walkers into the heart of the bog habitat.  Walks, Outdoor gym equipment, Fishing stands, Interpretative panels, Parking, Picnic area.",-8.627014,53.766572,gerry.mark@hotmail.com, ,071 9662145
-9.55111026763916,53.867687111456597,15, ,MO144,Carrowmore Stables,Horse riding,-9.55111026763916,53.8676871114566,lauraches@yahoo.co.uk, ,098 41192
-8.268585,53.981531,16,W4,RN8,Lough key Forest Park Trails,"A walk through majestic trees, fairy bridges, 10centure follies and stunning lake views.",-8.268585,53.981531,info@loughkey.ie,www.loughkey.ie,071 9673122
-9.22655515,53.76031174,17, ,MO145,Castlebar – Clogher Bog Loop,Walking Trail,-9.22655515,53.76031174,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.298798,53.969012,18,W5,RN9,Boyle Historic Town Walk,"Boyles historic trail threads not jut through old streets, buildings and momuments marking the history of Roscommon but the history of Ireland.",-8.298798,53.969012,unabhan@indigo.ie,www.unabhan.net,071 9662145  or 071 96 63033
-9.31427411,53.85032943,19, ,MO146,Castlebar – Lough Lannagh,Walking Trail,-9.31427411,53.85032943,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.047727,53.543526,20,W6,RN10,Rindoon Warren Point Loop and Castle Loop,A looped walk around the deserted medieval village of Rindoon.,-8.047727,53.543526,stjphg@gmail.com or reginadonlon@gmail.com,www.worldirish.com/stjphg2002,090 6661748 or 087 9821682 or 087 9414728
-9.241690635681151,53.847995097871397,21, ,MO147,Castlebar Angling Club,Fishing Club,-9.24169063568115,53.8479950978714, , ,087 9880743
-8.764596,53.762838,22,W7,RN11,Cloonfad Scenic Walks,Seven walking routes within the Cloonfad Walking Routes and two Slí na Sláinte routes,-8.764596,53.762838,ccclogher@eircom.net,www.discoverireland.ie,087 2396985 or 087 6330125
-9.30726528167725,53.860474531644805,23, ,MO148,Castlebar Cycling Club,To promote the sport of cycling,-9.30726528167725,53.8604745316448,brennan.john56@yahoo.com,www.castlebarcyclingclub.org,094 9022966
-8.129115,53.60051,24,W8,RN12,Mote Park Walks and Orienteering,"A 20 km way marked walk through open farmland, forest and hillside.",-8.129115,53.60051, ,www.roscommon.ie,090 6630853
-9.31125640869141,53.851311497058475,25, ,MO149,Castlebar Kayak Club,"To promote,develop and advance the sport and recreation of kayaking.  To promote the teaching and practice of kayaking in accordance with current best practice.",-9.31125640869141,53.8513114970585,info@castlebarkayakclub.com,www.castlebarkayakclub.com,087 4104745
-8.103639,53.776957,26,W9,RN13,"Sliabh Ban Walks, Strokestown",Sliabh Ban Walks are of various distances through the Coillte owned forest on Sliabh,-8.103639,53.776957, , ,087 2361794
-9.291214942932131,53.860044268287389,27, ,MO150,Castlebar Skateboard Club,"Skateboarding,",-9.29121494293213,53.8600442682874, , , 
-8.407428,53.869511,28,W10,RN14,Boyle Curlew Walkers,Walking Club,-8.407428,53.869511,bevphil.james@gmail.com, ,087 7627826
-8.80146503448486,53.960251838408787,29, ,MO151,Charlestown Swimming Pool,Outdoor Pool,-8.80146503448486,53.9602518384088,fun@charlestownaqua.com,www.charlestownaquacentre.com,086 2320429
-8.297276,53.972208,30,W11,RN15,Boyle Walking Club,Walking Club,-8.297276,53.972208,doddmajella@gmail.com, ,086 0681035
-9.990005493164062,53.806327868081901,31, ,MO152,Clare Island,Walking Trail,-9.99000549316406,53.8063278680819,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.297276,53.972208,32,W12,RN16,Boyle Walking Club,Walking Club,-8.297276,53.972208,tom.guckian@gmail.com, ,071 96664273
-9.952754974365231,53.801563259880787,33, ,MO153,Clare Island Beach,Walking Trail,-9.95275497436523,53.8015632598808, ,www.mayococo.com,094-9020000
-8.268083,53.998355,34,W13,RN17,Coillte Teoranta Lough Key Forest Park,Walking Club,-8.268083,53.998355, , ,071 9662363
-9.00176458,53.71497642,35, ,MO154,Claremorris – Giants Trail,Walking Trail,-9.00176458,53.71497642,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.112525,54.076341,36,W14,RN18,Kilronan Ramblers,Walking Club,-8.112525,54.076341, , ,071 9646001
-8.97700242,53.70601018,37, ,MO155,Claremorris School of Equestrian,Horse Riding,-8.97700242,53.70601018, , ,094 9362292
-8.256747,53.567627,38,W15,RN19,Walking,Walking Club,-8.256747,53.567627,suckvalleywalk@hotmail.com, ,087 2665951
-8.39344,54.233864599999976,39,W16,RN20,Walking,10k Walk,-8.39344,54.2338646,info@rosactive.ie, ,087 2665951
-8.97763252258301,53.733431043626382,40, ,MO156,Claremorris Water Sports Club,Water Sports,-8.97763252258301,53.7334310436264,enda.cunnane@hotmail.com, ,087 9099595
-8.256747,53.567627,41,K1,RN21,Athleague Kayak Club,Kayaking Club,-8.256747,53.567627, ,www.suckvalleywaywalk.ie,087 6395596
-9.54674363136292,53.885200910383595,42, ,MO157,Clew Bay Bike Hire,Bicycle & equipment Hire,-9.54674363136292,53.8852009103836,info@clewbayoutdoors.ie,www.clewbayoutdoors.ie,(0)98 24818
-8.606641,53.868068,43,K2,RN22,Ballaghaderreen Kayaking and Canoe Club,Kayaking Club,-8.606641,53.868068,jamesapplegate@eircom.net, ,0907 61307 / 087 9165621 or 087 6250339
-9.54769067,53.88406154,44, ,MO158,Clew Bay Charters,Boat Hire,-9.54769067,53.88406154,darragh@clewbaycharters.com,http://www.clewbaycharters.com,+353 (0)86 3884425
-8.096004,53.944486,45,K3,RN23,Carrick-on-Shannon Rowing Club,Kayaking Club,-8.096004,53.944486,carrickrc@gmail.com,www.carrickrc.com,086 8377868
-9.98645715,54.226060669999988,46, ,MO159,"Club Curachat Na Cille Móire, Iorras","promote community rowing activity, local heritage & sport participation through fun events, training & competitions",-9.98645715,54.22606067,northwestmayo@gmail.com, ,086 8602136
-8.478351,53.761111,47,K4,RN24,Castlerea Kayaking Club,Kayaking Club,-8.478351,53.761111, , ,086 3685680
-9.99572686,54.22445502,48, ,MO160,Club Farraige Iorrais / Erris Sea Club,To increase safe access to and participation in water sports in Erris.,-9.99572686,54.22445502,seaerris@gmail.com,www.seaerris.ie,086 2422567
-8.268083,53.998355,49,K5,RN25,Coillte Teoranta Lough Key Forest Park,Kayaking Club,-8.268083,53.998355, , , 079 62363
-9.28524971008301,53.540409402374301,50, ,MO161,Cong,Walking Trail,-9.28524971008301,53.5404094023743,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-7.942912,53.427016,51,K6,RN26,Lough Ree Power Boat Club,Bower Boat Club,-7.942912,53.427016, , ,1890 70 40 90 / 086 8149803
-8.84965896606445,53.864270781284802,52, ,MO162,Connaught youth cycling,To highlight road safety for bike users of all ages and to encourage and promote cycling in the area,-8.84965896606445,53.8642707812848,iangourlay@email.com, ,094 9367477
-8.078129,53.596762,53,K7,RN27,Mercy Sailing Club,Sailing Club,-8.078129,53.596762,janeycarter@eircom.net, ,090 6661017
-9.140067100524901,54.029326531163093,54, ,MO163,Coolcronan Treking Centre,Horse Riding,-9.1400671005249,54.0293265311631, , ,094 9258110
-8.228557,53.632868,55,K8,RN28,Portrun Canoe Club,Canoe Club,-8.228557,53.632868, , ,087 2977769
-9.924688339233398,53.874594837712706,56, ,MO164,Corrane Sea Angling Club,encourage and promote the sport of angling,-9.9246883392334,53.8745948377127,connpc@eircom.net, ,098 45723
-8.30443,53.96757,57,K9,RN29,RockDoon Rowing Club,Rowing Club,-8.30443,53.96757, , ,086 8120681
-9.1554468870163,54.115313868165984,58, ,MO165,Coxs Outdoor,Outdoor Equipment Shop,-9.1554468870163,54.115313868166,sales@coxsballina.com,www.coxsballina.com, 96 70896
-8.699765,53.813674,59,O1,RN30,Errit Lake Amenity Area,"Clubhouse, changing facilities, toilets, showers, jetty, swimming,  fishing, beach, parking, boat storage",-8.699765,53.813674,scrawley@sonas.ie, ,087 8048853
-9.65543746948242,53.759875208932186,60, ,MO166,Croagh Patrick Heritage Trail,Walking Trail,-9.65543746948242,53.7598752089322,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.290573,53.971977,61,O2,RN31,Lough Key Forest and Activity Park,"Zip wire, walks, Playgrounds, tree canopy walk, boda Borg Puzzle House, water activities",-8.290573,53.971977,louise@loughkey.ie,www.loughkey.ie,071 9673122
-9.58006739616394,53.780464493996782,62, ,MO167,Croagh Patrick Walking Holidays,Walking Trail,-9.58006739616394,53.7804644939968,gerry@walkingguideireland.com,http://www.walkingguideireland.com,+353 (0)98 26090
-8.268083,53.998355,63,O3,RN32,Zipit,"Action packed, multi-platform adrenaline-filled advernture journey for anyone from age 7 upwards with a basic level of fitness.  Sip lines, rope bridges, tarzan swings and climbing walls with a few special extra challenges thrown in for good measure!!",-8.268083,53.998355,info@zipit.ie,www.zipit.ie,051 858008 or 071 96 62893
-9.49892246,54.036426169999984,64, ,MO168,Crosmolina – Keenagh,Walking Trail,-9.49892246,54.03642617,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.189096,53.627591,65,O4,RN33,Loughnanane Park and Playground,"Adult outdoor gym, parkland, play area, castle, duck pond",-8.189096,53.627591,corporateservices@roscommoncoco.ie,www.roscommoncoco.ie,090 6637100
-9.31232654,54.07481769,66, ,MO169,Crossmolina – Enniscoe House,Walking Trail,-9.31232654,54.07481769,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.095289,53.631673,67,O5,RN34,Ros Karting,Outdoor karting track.,-8.095289,53.631673,info@roskarting.com,www.roskarting.com,087 2609664
-9.157662391662599,54.111999553988582,68, ,MO170,Cumann Chapaillín Iorrais,"To encourage young people to ride & enjoy all sports connected with horses and riding. We actively welcome all young people, including those with disabilities up to age 23.",-9.1576623916626,54.1119995539886,errisponyclub@gmail.com, ,097 81791
-7.942912,53.427016,69,O6,RN35,Bay Sports,"Rang of activities from 6 years upwards - water trampolining, chinese Dragon Boating, Kayaking, Sailing, Currach Rowing, Windsurfing, Pedal Boaring, Bushcraft, Archery",-7.942912,53.427016,info@baysports.ie,www.baysports.ie,090 6494801
-9.289498329162599,53.544260133086993,70, ,MO171,Cunga Cycling Club,Cycling Club,-9.2894983291626,53.544260133087,cungacc@gmail.com,www.cungabikes.com,086 2251511
-7.921535,53.832774,71,O7,RN36,Shannon River Adventure,"Canoeing, kayaking, raftbuilding, pier-jumping and a range of team games and activities  including archery.",-7.921535,53.832774,info@shannonriveradventure.com,www.shannonriveradventure.com,071 9638300
-9.754743576049799,53.622652060157286,72, ,MO172,Delphi Adventure Centre,Adventure Centre,-9.7547435760498,53.6226520601573, ,www.delphimountainresort.com/,095 42208
-7.942912,53.427016,73,O8,RN37,Irish Sailing Academy,"Training in sailing, powerboating, motorboating, navigation and other theory topics.",-7.942912,53.427016,info@irishsailingacademy.com,www.irishsailingacademy.com,049 9529750
-10.067982673645002,54.100777973254296,74, ,MO173,Dive West Ireland,Sub Aqua,-10.067982673645,54.1007779732543,seanlavelle@eircom.net,http://www.divewestireland.com,+353 (0)86 8365983
-7.976906,53.539609,75,O9,RN38,Viking Boat Tour,Board a viking ship that departs daily on a quest to Lough Ree - the Lake of the Kings.,-7.976906,53.539609,vikingmike@vikingtoursireland.ie,www.vikingtoursireland.ie,086 2621136
-10.0238227844238,53.920415010867202,76, ,MO174,Dooega Beach,Walking Trail,-10.0238227844238,53.9204150108672, ,www.mayococo.com,094-9020000
-8.129115,53.60051,77,O10,RN39,Mote Park,Permanent orienteering couse,-8.129115,53.60051, ,www.coillteoutdoors.ie,090 6627361 or 090 66 26350
-9.4990861415863,53.801550587328578,78, ,MO175,Drummindo Stud & Equitation Centre,Horse Riding,-9.4990861415863,53.8015505873286,drummindoo@anu.ie,www.drummindoo.com,098 25616
-8.268083,53.998355,79,O11,RN40,Wheelo,Orienteering course for abled and disabled people.,-8.268083,53.998355,info@loughkey.ie,www.loughkey.ie,071 96 73122
-10.017127990722701,54.014628117780894,80, ,MO176,Dugort Beach,Beach,-10.0171279907227,54.0146281177809, ,www.mayococo.com,094-9020000
-8.492454,53.768657,81,A1,RN41,Roscommon Archers,Àrchery,-8.492454,53.768657,neustace@hotmail.com, , 
-10.1012420654297,54.143811060452592,82, ,MO177,Duvillaun Riding Centre,Horse riding,-10.1012420654297,54.1438110604526,duvillaunridingcentre@gmail.com, ,097 85811
-9.0507,53.2718,83,T1,GA42,Galway Tours,Group Walking Tours for 8 or more in Galway City.,-9.0507,53.2718,info@galwaytours.ie,http://galwaytours.ie,(+353) 091 561386 (+353) 086 4021819
-10.067167282104499,54.100501169436001,84, ,MO178,Elements Kite Surfing,Kite Surfing,-10.0671672821045,54.100501169436,info@elementskitesurfing.com,http://www.elementskitesurfing.com,+353 (0)86 2463358
-10.0208,53.4875,85,W1,GA43,Connemara Walking & Cycling Centre,"operates a series of daily walks, programmes, Connemara Four Seasons Walking Festivals, and Self-Guided Walking Packages",-10.0208,53.4875,walkwest@indigo.ie,http://www.walkingireland.com,(+353) 095 21379
-10.089311599731399,54.154015742505891,86, ,MO179,Elly Bay Beach,Beach,-10.0893115997314,54.1540157425059, ,www.mayococo.com,094-9020000
-9.7784,53.594,87,W2,GA44,"Killary Tours - Connemara, Mayo & Galway self-guided and Walking Tours.","Guided, sel-guided and customised travel packages for cyclists, walkers and horse-riders.",-9.7784,53.594,tours@killary.com,http://www.killary.com,(+353) 095 42276
-9.30051684379578,53.855197172471293,88, ,MO180,Exposure,Outdoor Shop,-9.30051684379578,53.8551971724713,eolas@exposuresports.ie,www.exposuresports.ie,094 9034863
-10.041,53.4881,89,W3,GA45,Connemara Safari Guided Walking Holidays,3/5 day guided walking safaris exploring sites around Conemara.,-10.041,53.4881,info@abbeyglen.ie,http://www.walkingconnemara.com,(+353) 095 21071 1850 777200
-9.11371433,53.98084179,90, ,MO181,Foxford,Walking Trail,-9.11371433,53.98084179,info@mayotrails.ie,www.mayotrails.com,094 904 7545
-9.047859,53.27613,91,W4,GA46,Walking The Western Way Galway,"TRIALS: Walking Hiking; Sli Na Sliante walking routes; Canoe; Horse Riding; Off-road cycling; On-road cycling; Orienteering/Adventure. Park/Recreational.",-9.047859,53.27613,walking@irishsportscouncil.ie,http://www.irishwaymarkedways.ie,(+353) 091 509000
-9.16392803192139,53.9869568137931,92, ,MO182,Foxford - Drummin,Walking Trail,-9.16392803192139,53.9869568137931,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.8382,53.0928,93,W6,GA47,Coole Park,"Two trails to follow. ""The Family Trail"" is an easy 1.75 km walk, taking you past the deer pen, the site of the house and into the walled garden to see the Autograph Tree. The   4.5 km ""Seven Woods Trail"" connects the different woods made famous in poetr",-8.8382,53.0928,info@coolepark.ie,http://www.coolepark.ie,(+353) 091 631804
-9.047859,53.27613,94,W7,GA48,Galway Walking Club,"Every fortnight, The Galway Walking Club organise a ramble in the countryside around counties Galway, Clare or Mayo",-9.047859,53.27613, ,http://www.galwaywalkingclub.homestead.com/, 
-9.11612033843994,53.9801938450194,95, ,MO183,Foxford Salmon Angling Club,Fishing Club,-9.11612033843994,53.9801938450194,info@foxfordsalmonanglers.com,www.foxfordsalmonanglers.com, 
-9.9446,53.5508,96,W8,GA49,Connemara National Park,"Things to see and do; Diamond Hill walks, Nature trials, Picnic areas, Childrens playground, audio visual show (multi-lingual), information desk, Conemara ponies, Tea room.",-9.9446,53.5508, , ,(+353) 095 41054
-9.10120725631714,53.986351219562174,97, ,MO184,Foxford Walking Club,Walking Trail,-9.10120725631714,53.9863512195622,info@foxfordwalkingfestival.com, ,087 7992865
-8.9612,53.245,98,W9,GA50,Rinville Park,Network of walks through the woodland and open farmland.,-8.9612,53.245, , ,(+353) 087 2929295
-9.11985397338867,53.980875238629501,99, ,MO185,Foxford Way,Walking Trail,-9.11985397338867,53.9808752386295,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-9.37,53.5539,100,W10,GA51,Clonbur Wood,Approximately 5.6 km of walks along the banks of Lough Mask. These walks pass some limestone pavements similar to what you will find at the Burren in County Clare.,-9.37,53.5539, ,http://www.coillte.ie/tourism_and_recreation/g_clonbur.htm, 
-9.304947853088381,53.850349515189009,101, ,MO186,Galway GMIT Hill Walking Club,Walking Club,-9.30494785308838,53.850349515189,lightwarrior@priest.com, ,086 8662583
-8.2454,53.0906,102,W11,GA52,Portumna Forest Park,"There are forest and lakeside walks, car park, toilet facilities and observation points. There is a viewing tower along the nature trail where one can get a birds eye view of the forest, lake and lakeshore. Adjacent to the Park is a marina giving access",-8.2454,53.0906, ,http://www.coillte.ie/tourism_and_recreation/g_portumna.htm, 
-9.223666191101071,53.623848339721903,103, ,MO187,Glenamoy Angling Club,To develop the fishing in the area encourage tourism protect fishing stocks and river banks,-9.22366619110107,53.6238483397219,info@glenamoyangling.com, ,097 87961
-9.2847,53.5388,104,W12,GA53,Pigeon Hole Wood,"Facilities include picnic site, seats and car park area with over 2km of walks.",-9.2847,53.5388, ,http://www.coillte.ie/recreation/recreation_sites/galway/pigeon_hole_wood/, 
-9.987430572509767,54.018460794741493,105, ,MO188,Golden Strand Beach,Beach,-9.98743057250977,54.0184607947415, ,www.mayococo.com,094-9020000
-9.2847,53.5388,106,W13,GA54,Ardnageeha Wood,"4km walking trial. Picnic site, seats, fishing, bathing facility and car park.",-9.2847,53.5388, ,http://www.coillte.ie/recreation/recreation_sites/galway/ardnageeha/, 
-9.170279502868651,54.119948432402197,107, ,MO189,Grainne Uaile Sub Aqua Club,Sub Aqua,-9.17027950286865,54.1199484324022,dive@gusac.ie,www.gusac.ie,086 7910365
-9.2847,53.5388,108,W14,GA55,Cong Wood,2km walking trial.,-9.2847,53.5388, ,http://www.coillte.ie/recreation/recreation_sites/galway/cong_wood/, 
-9.529867172241209,53.801968779530291,109, ,MO190,Great Western Greenway,Cycle/Walking Trail,-9.52986717224121,53.8019687795303,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-9.5466148853302,53.88532105918091,110, ,MO191,Greenway Bicycle Hire,Bike Hire,-9.5466148853302,53.8853210591809,greenwaybicyclehire@gmail.com,www.greenwaybicyclehire.com,(0)86 0382594
-8.5094,53.4717,111,W15,GA56,Mountbellew woodland,"5km walking trial, Car park, Picnic area.",-8.5094,53.4717, , , 
-9.90249836,53.99598101,112, ,MO192,Inishbiggle Island,Walking Trail,-9.90249836,53.99598101,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.8753,53.224,113,W16,GA57,Kilcornan woodland,8 km of forest trails. Car park.,-8.8753,53.224, ,http://www.coillte.ie/tourism_and_recreation/g_kilcornan.htm, 
-10.114631652831999,53.702600820048474,114, ,MO193,Inishturk Island,Walking trail,-10.114631652832,53.7026008200485,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.6994,53.3738,115,W17,GA58,Monivea woodland,5km of forest walks and shooting by permit.,-8.6994,53.3738, ,http://www.coillte.ie/tourism_and_recreation/g_monivea.htm, 
-8.7945556640625,53.963830742768394,116, ,MO194,Ireland West Aviation,Aviation,-8.7945556640625,53.9638307427684,info@irelandwestaviation.com,http://www.irelandwestaviation.com,+353 (0)94 9367716
-10.00174,53.54361,117,W18,GA59,Walk Conemara, ,-10.00174,53.54361, ,www.WalkConemara.com,(+353) 087 6291659
-9.51861262321472,53.800017180238903,118, ,MO195,Ireland West Sea Kayaking/Canoeing - Saoirse na Mara,Canoing/kayaking,-9.51861262321472,53.8000171802389,saoirsenamara@gmail.com,http://www.irelandwestseakayaking.com,+353 (0)86 1733610
-8.32123,53.52347,119,W19,GA60,Aghrane Woods.,"Walking, cycling, horse riding, bird watching, culture and history trial.",-8.32123,53.52347, , , 
-9.75618069,53.90629496,120, ,MO196,Kayaking at Mulranny Park Hotel,Kayaking,-9.75618069,53.90629496,info@mulrannyparkhotel.com,http://www.mulrannyparkhotel.ie/kayaking-mayo,+353 (0)98 36709
-9.1168,53.2598,121,E1,GA61,Rusheen Riding Centre,"Horses and ponies, all standards catered for, Beach/farm land/Cross country course.",-9.1168,53.2598,info@galwayhorseriding.com,http://www.galwayhorseriding.com,(+353) 091 521285 (+353) 087 6811837
-10.075793266296399,53.971511410046489,122, ,MO197,Keel Beach,Beach,-10.0757932662964,53.9715114100465, ,www.mayococo.com,094-9020000
-8.9628,53.3257,123,E2,GA62,Rockmount Riding Centre,Provides Horse riding lessons for all level of riders.,-8.9628,53.3257, , ,(+353) 091 798147
-10.191664695739698,53.967497696405594,124, ,MO198,Keem Beach,Beach,-10.1916646957397,53.9674976964056, ,www.mayococo.com,094-9020000
-8.567,53.1973,125,E3,GA63,Aillecross Equestrian Centre,Provides Horse riding lessons for all level of riders. Conemara/coast trials.,-8.567,53.1973, ,http://www.aille-cross.com/,(+353) 091 841216
-9.22327995300293,54.212806987169898,126, ,MO199,Killala Boat Club,Sailing,-9.22327995300293,54.2128069871699,PatBar42@gmail.com, ,087 7604108 
-9.1099,53.2881,127,E4,GA64,Feeneys Equestrian Centre,Provides lessons and treks for all age groups.,-9.1099,53.2881, , ,(+353) 091 527579
-9.769163131713871,53.592835934567198,128, ,MO200,Killary Adventure Co.,"Kayaking, bungy jump, giant swing, wind surfing raft building, high ropes, laser combat games, paintballing, turf challenge, orienteering, hill walking, zip wire, yacht, rock climbing, Bike hire, Water trampolines, Adventure racing, Gaisce Training",-9.76916313171387,53.5928359345672,adventure@killary.com,www.killaryadventure.com,095 43411
-10.164933,53.417802,129,E5,GA65,The Point Equestrian Centre,Pony Trekking & Horse Riding Centre for all levels.,-10.164933,53.417802, , ,(+353) 095 23685
-9.7477,53.5778,130,E6,GA66,Glen Valley Stables,Offers select riding holidays in the wild and beautiful Connemara.,-9.7477,53.5778,info@glenvalleyhouse.com,http://www.glenvalleyhouse.com/,(+353) 095 42269
-10.03555958,54.21088455000001,131, ,MO201,Kilmore Triathalon Club,Triathlon Club,-10.03555958,54.21088455,kilmoretri@gmail.com,www.kilmoretriathlonclub.com,087 6147032
-8.654050827026371,53.885042819334586,132, ,MO202,Kilmovee Swimming Pool,Outdoor Pool,-8.65405082702637,53.8850428193346, , ,086 071 7948
-9.03,53.3765,133,E7,GA67,Clonboo Riding School,"All standards of riders, both beginners and advanced, are very welcome. Height and weight restrictions apply. We offer tuition in our outdoor or indoor school, suitable for novice or nervous riders.",-9.03,53.3765,clonbooriding84@gmail .com, ,(+353) 091 791362  (+353) 087 9111738
-8.993940353393549,53.848488776991189,134, ,MO203,Kiltimagh Outdoor Gym,Outdoor Gym,-8.99394035339355,53.8484887769912, , , 
-8.4672,53.1333,135,E8,GA68,Slieve Aughty Riding Centre,"offers horse riding holidays, family adventure holidays, horse riding lessons, treks and cross country horse riding, and English language tuition",-8.4672,53.1333,info@riding-centre.com,http://www.riding-centre.com,(+353) 090 9745246
-9.142341613769529,54.104451739860785,136, ,MO204,Liquid Motion Triathalon Club,Triathlon Club,-9.14234161376953,54.1044517398608,tomaslynn@gmail.com,www.liquidmotion.ie,086 3737734
-10.067778,53.48037,137,E9,GA69,Errislannan Riding Centre & Connemara Pony Stud,Riding and trekking on Connemara ponies,-10.067778,53.48037,eirrislannanmanor@eircom.net,www.ErrislannanManor.com,(+353) 095 21134
-9.29797410964966,53.854374502569897,138, ,MO205,Lough Carra Angling Club,Fishing Club,-9.29797410964966,53.8543745025699, , ,094 9023542
-8.47736,53.2236,139,E10,GA70,The Connemara Trail, ,-8.47736,53.2236,tct@eircom.net,http://www.connemaratrail.com,(+353) 091 841216
-9.324173927307131,54.090409150783991,140, ,MO206,Lough Conn and Cullin Anglers Club,Fishing Club,-9.32417392730713,54.090409150784,mmloughconn@eircom.net, , 
-8.4808,53.2246,141,E11,GA71,Dartfield Horsepark and Museum,"Provides Horse riding lessons for all level of riders. Conemara/coast trials, Grey Hound racing, Sheep Dog trials, angling and fishing in Ireland.",-8.4808,53.2246,info@dartfield.com,http://www.dartfield.com,(+353) 091 843968
-9.31427411,53.85032943,142, ,MO207,Lough Lannagh,"Lake, Walking Trails, Outdoor Gym",-9.31427411,53.85032943, , , 
-8.3089,53.1403,143,E13,GA72,Flower Hill Equestrian Farm,"Cross country, Hunting, Treking and lessons, 4x4 offroad.",-8.3089,53.1403,info@flowerhill.net,http://www.flowerhill.net/,(+353) 0905 76112
-9.219160079956049,53.617510217273782,144, ,MO208,Lough Mask Angling Club,Fishing Club,-9.21916007995605,53.6175102172738, , , 
-10.0945,53.5557,145,E14,GA73,Cleggan Riding Centre,Cleggan Beach Riding,-10.0945,53.5557,jcaz@eircom.net,http://www.clegganridingcentre.com/,(+353) 095 44746
-9.807014465332028,53.763579108176302,146, ,MO209,Louisburgh Cycle Hub,Cycle,-9.80701446533203,53.7635791081763,info@mayotrails.ie,www.mayotrails.com,94 904 7545
-8.8974,53.4624,147,E15,GA74,Waterdale Equestrian Centre,A.I.R.E. approved centre offering qualified tuition. Packages available for all age groups & levels.,-8.8974,53.4624,aingram@eircom.net,http://www.galwayequestrian.ie,(+353) 085 1003400
